Название кампании	Тип кампании	Минус-фразы на кампанию	Название группы	Номер группы	Доп. объявление группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения	Минус-фразы на группу
CC | Зарубежные счета				2	-	"иностранный банковский счет"										
CC | Зарубежные счета				2	-	"счет в иностранном банке для россиян"										
CC | Зарубежные счета				2	-	"открыть счет за границей физическому лицу"										
CC | Зарубежные счета				2	-	"зарубежный счет для бизнеса"										
CC | Зарубежные счета				2	-	"счет в зарубежном банке нерезидент"										
CC | Зарубежные счета				2	+		Счёт за границей для россиян	Подбор под ваш кейс	Source of Funds и выбор юрисдикции под ваш кейс. Доказываем, а не прячем.	https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	zarubezhnyy-schet	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета	Текстово-графическая		Счёт ОАЭ	3	-	"открыть счет в оаэ"	Счёт в ОАЭ для россиян	Source of Funds под ключ	Личный и корпоративный счёт в Дубае с прохождением KYC. Под банк.	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/oae	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета				3	-	"счет в дубае для россиян"										
CC | Зарубежные счета				3	-	"банковский счет оаэ"										
CC | Зарубежные счета				3	-	"открыть счет в дубае"										
CC | Зарубежные счета				3	-	"корпоративный счет в оаэ"										
CC | Зарубежные счета				3	-	"счет в банке оаэ для нерезидентов"										
CC | Зарубежные счета				3	-	"открыть счет в эмиратах"										
CC | Зарубежные счета				3	-	"банк в дубае для россиян"										
CC | Зарубежные счета				3	+		Счёт в Дубае: комплаенс	Free Zone и личный счёт	Открытие счёта в ОАЭ с понятной биографией капитала. Не транзит.	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/oae	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета	Текстово-графическая		Счёт Сингапур	4	-	"открыть счет в сингапуре"	Счёт в Сингапуре	Капитал от $500K	Личный счёт и family office. Комплаенс MAS и Source of Funds.	https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/singapore	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета				4	-	"банк сингапур нерезидент"										
CC | Зарубежные счета				4	-	"счет в сингапуре для россиян"										
CC | Зарубежные счета				4	-	"корпоративный счет сингапур"										
CC | Зарубежные счета				4	-	"открыть счет в банке сингапура"										
CC | Зарубежные счета				4	-	"личный счет в сингапуре"										
CC | Зарубежные счета				4	-	"банковский счет сингапур"										
CC | Зарубежные счета				4	+		Банк Сингапура для нерезидентов	Для крупного капитала	Счёт для крупного капитала. Документы под банк и регулятор MAS.	https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/singapore	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета	Текстово-графическая		Счёт Гонконг	5	-	"счет в гонконге"	Счёт в Гонконге	Комплаенс и платежи	Открытие счёта с чистой историей капитала. ВЭД и private banking.	https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/hong-kong	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Зарубежные счета				5	-	"открыть счет гонконг"										
CC | Зарубежные счета				5	-	"банк гонконга для нерезидентов"										
CC | Зарубежные счета				5	-	"корпоративный счет в гонконге"										
CC | Зарубежные счета				5	-	"открыть счет в банке гонконга"										
CC | Зарубежные счета				5	-	"счет в гонконге для бизнеса"										
CC | Зарубежные счета				5	-	"банковский счет гонконг"										
CC | Зарубежные счета				5	+		Гонконг для бизнеса	Source of Funds под банк	Сопровождение KYC/EDD и структуры под банк Гонконга.	https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	schet/hong-kong	Счёт в ОАЭ||Сингапур||Гонконг||Source of Funds	Личный и корпоративный счёт в Дубае||Счёт в банке Сингапура для нерезидентов||Открытие счёта с чистой историей капитала||Досье происхождения средств под банк	https://ccapital.pro/account-uae.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-singapore.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/account-hong-kong.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||KYC/EDD||С 2023 года||Документы под банк||Без транзитных схем	
CC | Source of Funds	Текстово-графическая	бесплатно, вакансии, работа, курс, обучение, реферат, скачать, форум, отзывы, мошенники, обман, развод, форекс, брокер, кредит, ипотека, вклад, депозит, госуслуги, wikipedia, википедия, своими руками, самостоятельно, образец, пример, шаблон, диплом, казино, ставки, майнинг, кран, airdrop, сигналы, обменник, как заработать, заморозка активов за рубежом	Source of Funds	1	-	"source of funds"	Source of Funds под ключ	Досье для банка	Досье происхождения средств и капитала под комплаенс банка.	https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	source-of-funds	AML для крипты||Отказ банка||Зарубежный счёт||Private Office	Чистый вход криптоактивов в банк||Что делать, если банк отказал в счёте||ОАЭ, Сингапур, Гонконг под ключ||Архитектура легитимности от $1M	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||AML-досье||KYC/EDD||С 2023 года||Без P2P и миксеров	
CC | Source of Funds				1	-	"source of wealth"										
CC | Source of Funds				1	-	"как доказать происхождение денег банку"										
CC | Source of Funds				1	-	"подтверждение происхождения средств банк"										
CC | Source of Funds				1	-	"происхождение средств для банка"										
CC | Source of Funds				1	-	"досье источник происхождения средств"										
CC | Source of Funds				1	-	"доказать легальность происхождения капитала"										
CC | Source of Funds				1	-	"подтвердить источник средств для банка"										
CC | Source of Funds				1	+		Доказать происхождение денег	Source of Funds	Собираем историю капитала, которую примет западный банк.	https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	source-of-funds	AML для крипты||Отказ банка||Зарубежный счёт||Private Office	Чистый вход криптоактивов в банк||Что делать, если банк отказал в счёте||ОАЭ, Сингапур, Гонконг под ключ||Архитектура легитимности от $1M	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||AML-досье||KYC/EDD||С 2023 года||Без P2P и миксеров	
CC | Source of Funds	Текстово-графическая		AML и крипта	2	-	"aml криптовалюта"	AML для крипты	Чистый вход в банк	On-chain история, чистый USDC и легальный off-ramp. Без P2P.	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	aml-crypto	AML для крипты||Отказ банка||Зарубежный счёт||Private Office	Чистый вход криптоактивов в банк||Что делать, если банк отказал в счёте||ОАЭ, Сингапур, Гонконг под ключ||Архитектура легитимности от $1M	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||AML-досье||KYC/EDD||С 2023 года||Без P2P и миксеров	
CC | Source of Funds				2	-	"легализация крипты"										
CC | Source of Funds				2	-	"криптовалюта банк не принимает"										
CC | Source of Funds				2	-	"aml проверка криптовалюты"										
CC | Source of Funds				2	-	"вывести крипту в банк легально"										
CC | Source of Funds				2	-	"подтверждение происхождения криптовалюты"										
CC | Source of Funds				2	-	"легальный вывод криптовалюты в фиат"										
CC | Source of Funds				2	-	"банк не принимает деньги с крипты"										
CC | Source of Funds				2	+		Легализация крипты для банка	AML-пакет под банк	Криптоактивы с доказуемой историей для банка и контрагента.	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	aml-crypto	AML для крипты||Отказ банка||Зарубежный счёт||Private Office	Чистый вход криптоактивов в банк||Что делать, если банк отказал в счёте||ОАЭ, Сингапур, Гонконг под ключ||Архитектура легитимности от $1M	https://ccapital.pro/aml-crypto.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-refused.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Source of Funds под ключ||AML-досье||KYC/EDD||С 2023 года||Без P2P и миксеров	
CC | Готовый бизнес ЕС	Текстово-графическая	бесплатно, вакансии, работа, курс, обучение, реферат, скачать, форум, отзывы, мошенники, обман, развод, форекс, брокер, кредит, ипотека, вклад, депозит, госуслуги, wikipedia, википедия, своими руками, самостоятельно, франшиза, бизнес план, бизнес идеи, идеи, с нуля, авито, бизнес курсы	Бизнес EU	1	-	"готовый бизнес в европе"	Готовый бизнес в Европе	Substance и капитал	Действующий бизнес с выручкой — понятный банку вход капитала.	https://ccapital.pro/business-eu.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	business-eu	Source of Funds||Зарубежный счёт||Private Office||О подходе	Досье происхождения средств для банка||Личный и корпоративный счёт за рубежом||Управление крупным капиталом||Доказываем, а не прячем	https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/qualified-clients.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Substance и выручка||Эскроу сделки||Source of Funds||С 2023 года	
CC | Готовый бизнес ЕС				1	-	"купить бизнес в европе"										
CC | Готовый бизнес ЕС				1	-	"готовый бизнес в ес"										
CC | Готовый бизнес ЕС				1	-	"купить компанию в европе с оборотом"										
CC | Готовый бизнес ЕС				1	-	"действующий бизнес в европе купить"										
CC | Готовый бизнес ЕС				1	-	"купить готовый бизнес за рубежом"										
CC | Готовый бизнес ЕС				1	-	"бизнес в европе с выручкой"										
CC | Готовый бизнес ЕС				1	-	"купить фирму в евросоюзе"										
CC | Готовый бизнес ЕС				1	+		Купить бизнес в ЕС	Реальная выручка	Эскроу, Source of Funds и сопровождение сделки под банк.	https://ccapital.pro/business-eu.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={keyword}	business-eu	Source of Funds||Зарубежный счёт||Private Office||О подходе	Досье происхождения средств для банка||Личный и корпоративный счёт за рубежом||Управление крупным капиталом||Доказываем, а не прячем	https://ccapital.pro/source-of-funds.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/bank-account.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/private.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink||https://ccapital.pro/qualified-clients.html?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term=sitelink	Под NDA||Substance и выручка||Эскроу сделки||Source of Funds||С 2023 года	
